Entry Name,Photo1
Св. Александр Невский 10 5/8 х 12,https://lnk.sortly.co/v2/downloads/photo/v2_rNi-Nrkebfk0rxHx-NaUYNgk6mi6OlcOaouvc19-90Dogg9SM7YVEg==
Св. Алексий Московский 19 3/4 х 23 1/2,https://lnk.sortly.co/v2/downloads/photo/v2_DT8Boyn5XK977jb6oT6v4H7YRRQQ5M4AIK9R9z8gdqnX32DOIIcbew==
Св. Антоний и Феодосий я12 1/2 х 15 1/2,https://lnk.sortly.co/v2/downloads/photo/v2_jmBH-r-xRGaCcmC7P571AFAPu4cGU1PRjpYGG2KbsjDmpWNHIhUr5g==
Св. Апостолы Пётр и Павел 10 1/4 х 11 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_kNOPNGoPiDCjI2XM5csg5VFTGEmiJLF6f1wkr9_bF-61sIgPePXpyw==
Св. Борис и Глеб 15 3/4 х 19 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_7GdUX23VhHvgJEFgFH5us1b0aciyS7TO90len3qr4oADEzeN50Gkyg==
Св. Варвара 9 х 10 7/8,https://lnk.sortly.co/v2/downloads/photo/v2_Vsa1xIRjtEmxiCI8CZOfDIugIDkJunQ8KdDress0n8KnfRd8EZpQtQ==
Св. Василий 11 3/8 х 15,https://lnk.sortly.co/v2/downloads/photo/v2_ZCFxuklpm9IWPpyKz9Iz3sj_hdf76he7lU97f2M_1HHYDSRaGWHtyA==
Св. Василий и Евдокия 10 1/4 х 12 3/8,https://lnk.sortly.co/v2/downloads/photo/v2__3UyYvby9LvzbMfLM7IILTa3avJ2ck9ghwfKlBuOSDS9-HVEYvLc8g==
Св. Вера 14 5/8 х 19 1/2,https://lnk.sortly.co/v2/downloads/photo/v2_Jcn9NgcpuFR5oYy4PC4s906-EwB3Zz1gZWpWZabp8ubgoh2W8MSR1Q==
Св. Герман Аляскинский 10 7/8 х 15,https://lnk.sortly.co/v2/downloads/photo/v2_nhbIGwfUekQdnF4bdvNuu5JzrLvqUTtYxfMOz3YF3akonAh4Sc5H9Q==
Св. Евпраксия 13 х 16,https://lnk.sortly.co/v2/downloads/photo/v2_9Hfz081_qhW5vOX6EkjfrGp7N3wWFFaiMmkbYTBFXkNeSmhRJWBHxg==
Св. Жёны Мироносецы 15 3/4 х 18 1/2,https://lnk.sortly.co/v2/downloads/photo/v2_Xtp_BVkEG7jxgS-Vg_PMU8POcBpJxYX3a4apAH9D3UGQqfaAgq071A==
Св. Игнатии Мариупольский 12 5/8 х 15 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_zdReGypWLLnG4EPFFTSws85ls8KcO_kT0u1wyCjsTZqWeUgca-aZgA==
