"Entry Name,Entry Type,Photo1"
"Св. Ниль Столбенский 11 1/2 х 13 1/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_cxAgYI-D6NajVAE-71H3-7pY8-tdpbmNcxCcr9pnD4mt4DXbivzvxw=="
"Св. Патриарх Иоан 15 1/2 х 18,Item,https://lnk.sortly.co/v2/downloads/photo/v2_e59dxe6pUTrH86Tjvf9Y3E68e2tM4tgVG5TmrYQg5dqKx2KXKmpV-g=="
"Св. Серафим саровский 10 х 13 5/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_Rb0CmbCp1pr6KxKnG19OriTgLmPkxyZStCotpJxL2IIfAPraf4LlEA=="
"Св. Спиридон 11 7/8 х 15 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_xNdowDOWZbm-Q0xSCIRWyF64as6r1DffhomjMK-sX2_wLVQbIs3zBQ=="
"Св. Спиридон 5 1/2 х 8 1/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_sGvNmIMqAtAEeTx5TN4HR9ifsKOYU916utxxZQYgx8d_uL3UYwAlEQ=="
"Св. Татиана 15 3/4 х 19 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_3EhoxnmzvxTRvGG-oVwUCM-UbTOvDkqA4w3olhbSNBjr8m2Jc9DCVA=="
"Св. Феодора 7 х 8 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_YAUu-CY-fPGEuXJi4Fu432R-fmZpBodHse6fag58q2WVR3jHT0FM0A=="
"Севастийские мученики 9 1/4 х 12,Item,https://lnk.sortly.co/v2/downloads/photo/v2_-aUOXLGbmt3ukNrVJadVUy_mE_0E-joypduh1jIWeMPfQAsv7gqxxg=="
"Серафим Выредцкий 9 7/8 х 11 3/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_qqTtG_eRCrzAY6BUgwJuDzALHij8ZmhpWrolOn7-b293A_UpOqjPjw=="
"Скоропослужница 13 х 15 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_IKLVeZRjhuN1bBD-ObiLxPOs2wVmwqHs70AYGazeeem_654towOYsQ=="
"Собор американских святых 9 1/2 х 9 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_s5ueHKpnj0Xlhg-iplka2eRdgmtuX0Hn5zbZSCKkO7SPtTtn8HQOQw=="
"Спаситель (Пантократор) 17 1/4 х 21 1/4 [broken],Item,https://lnk.sortly.co/v2/downloads/photo/v2_Ry6QhFmTz4yaKgmShbiwYmcFUs_Y5UTsuyoM5xVkSjY9spKwQLlm_g=="
"Спаситель (нерукотворная) 25 х 33,Item,https://lnk.sortly.co/v2/downloads/photo/v2_JIU0r8qlMLRQX7LYBdt_AXLjwR2N_hohoCBTzMkTywFdI0Il9gru5A=="
"Спаситель 10 3/4 х 12 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_e92-RKuWsPxnVhY2FhpjO98xd6l0kNJo5kTXyxo0cPQUpx9iZVp7iA=="
"Спаситель 10 3/8 х 12 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_lcRNA9tsvV3XmD3Isq2j2z20L--AecMIQv1igz-EGy6neBZekrCoFg=="
"Спаситель 11 3/4 х 19 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_cHrPCKoYLnVOdQeexP6iU7yTwrebCQxjxSGI7I1Da2KEk5aWuAXo9g=="
"Спаситель 2 х 2 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_2hV2pRjM3ShepSvTzwrbekRGR78ObFDZ2CTQQmy8afEQ73EIk4PFBw=="
"Спаситель 6 х 7,Item,https://lnk.sortly.co/v2/downloads/photo/v2_M23COnL3Mums4hn2DRjRYCm1ts5H5ejbO8FPTuO3VNaCjDcct6MlnA=="
"Спаситель 7 1/2 х 8 1/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_fanrqGOlpPsHcv15rbLIINX5J9urtNihCg_YqdzvpR2biRdaelY1pg=="
"Спаситель 9 х 10 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_ZDXZSLxgpZB9fzpEeHYE0Q2KY6rH7F9DHauuug-2g_UsOue9VDgX8w=="
